epoch,train_loss,train_t,train_s,val_loss,val_t,val_s,val_nmse_db,lr,time_iso
1,0.055960,0.094366,0.017554,0.054396,0.093292,0.015500,-10.70,0.0001,2025-08-21T06:33:10
2,0.047308,0.080485,0.014131,0.049962,0.085400,0.014524,-10.77,0.0001,2025-08-21T06:34:10
3,0.044674,0.076271,0.013078,0.047606,0.081884,0.013329,-10.74,0.0001,2025-08-21T06:35:11
4,0.044602,0.076011,0.013192,0.051727,0.089976,0.013477,-10.74,0.0001,2025-08-21T06:36:15
5,0.044423,0.075132,0.013714,0.052419,0.089381,0.015457,-10.65,0.0001,2025-08-21T06:37:11
6,0.042570,0.072574,0.012566,0.049613,0.086925,0.012301,-10.78,0.0001,2025-08-21T06:38:09
7,0.040608,0.070360,0.010857,0.050126,0.089109,0.011144,-10.79,0.0001,2025-08-21T06:39:06
8,0.040885,0.071144,0.010626,0.050909,0.090240,0.011579,-10.80,0.0001,2025-08-21T06:40:04
9,0.039477,0.068598,0.010355,0.048695,0.085545,0.011845,-10.83,5e-05,2025-08-21T06:41:01
10,0.036875,0.064940,0.008810,0.049411,0.084898,0.013923,-10.81,5e-05,2025-08-21T06:41:57
11,0.035982,0.062969,0.008994,0.050628,0.087640,0.013617,-10.79,5e-05,2025-08-21T06:42:52
12,0.035453,0.061747,0.009158,0.048304,0.083117,0.013490,-10.78,5e-05,2025-08-21T06:43:46
13,0.035413,0.061486,0.009340,0.044628,0.076932,0.012325,-10.78,5e-05,2025-08-21T06:44:40
14,0.035134,0.060955,0.009313,0.048876,0.083702,0.014049,-10.76,5e-05,2025-08-21T06:45:39
15,0.034620,0.060491,0.008749,0.046691,0.080691,0.012690,-10.79,5e-05,2025-08-21T06:46:31
16,0.035505,0.062308,0.008702,0.048610,0.084030,0.013190,-10.74,5e-05,2025-08-21T06:47:23
17,0.034556,0.060441,0.008671,0.047475,0.081787,0.013162,-10.81,5e-05,2025-08-21T06:48:15
18,0.034465,0.060736,0.008195,0.052948,0.091118,0.014779,-10.69,5e-05,2025-08-21T06:49:06
19,0.033644,0.059722,0.007566,0.048072,0.084644,0.011500,-10.82,2.5e-05,2025-08-21T06:49:58
20,0.032282,0.057922,0.006642,0.048392,0.085471,0.011312,-10.82,2.5e-05,2025-08-21T06:50:50
21,0.032001,0.057633,0.006369,0.047663,0.083754,0.011571,-10.80,2.5e-05,2025-08-21T06:51:42
22,0.032366,0.058020,0.006712,0.047647,0.083955,0.011339,-10.82,2.5e-05,2025-08-21T06:52:33
23,0.032179,0.057811,0.006546,0.048357,0.085305,0.011408,-10.81,2.5e-05,2025-08-21T06:53:24
24,0.032483,0.058151,0.006815,0.046889,0.082543,0.011235,-10.83,2.5e-05,2025-08-21T06:54:15
25,0.033012,0.058167,0.007857,0.048331,0.083290,0.013373,-10.78,2.5e-05,2025-08-21T06:55:06
26,0.033169,0.058445,0.007893,0.049809,0.085704,0.013914,-10.78,2.5e-05,2025-08-21T06:55:57
27,0.033112,0.058500,0.007723,0.048968,0.086542,0.011394,-10.79,1.25e-05,2025-08-21T06:56:49
28,0.032037,0.057109,0.006964,0.049097,0.084939,0.013255,-10.78,1.25e-05,2025-08-21T06:57:41
29,0.031858,0.056709,0.007007,0.048755,0.084448,0.013062,-10.80,1.25e-05,2025-08-21T06:58:32
30,0.031885,0.056850,0.006921,0.049694,0.085847,0.013541,-10.78,1.25e-05,2025-08-21T06:59:24
31,0.030903,0.056072,0.005734,0.047658,0.083625,0.011691,-10.79,1.25e-05,2025-08-21T07:00:16
32,0.030864,0.056078,0.005650,0.047668,0.083657,0.011679,-10.78,1.25e-05,2025-08-21T07:01:08
33,0.030728,0.055899,0.005557,0.046497,0.081206,0.011789,-10.78,1.25e-05,2025-08-21T07:01:59
34,0.030838,0.056095,0.005581,0.044949,0.078114,0.011783,-10.71,1.25e-05,2025-08-21T07:02:49
35,0.031003,0.056171,0.005835,0.048425,0.085178,0.011671,-10.77,6.25e-06,2025-08-21T07:03:39
36,0.030831,0.055827,0.005835,0.045663,0.079740,0.011586,-10.77,6.25e-06,2025-08-21T07:04:30
37,0.030774,0.055657,0.005891,0.045261,0.078810,0.011712,-10.78,6.25e-06,2025-08-21T07:05:20
38,0.030450,0.055135,0.005765,0.050607,0.089508,0.011706,-10.76,6.25e-06,2025-08-21T07:06:10
39,0.030172,0.054530,0.005813,0.050052,0.086361,0.013743,-10.76,6.25e-06,2025-08-21T07:07:00
40,0.030249,0.054552,0.005945,0.049260,0.086798,0.011722,-10.76,6.25e-06,2025-08-21T07:07:50
41,0.030384,0.054839,0.005929,0.047319,0.082812,0.011827,-10.78,6.25e-06,2025-08-21T07:08:39
42,0.030216,0.054607,0.005824,0.048367,0.084934,0.011800,-10.78,6.25e-06,2025-08-21T07:09:29
43,0.030228,0.054611,0.005846,0.048526,0.085257,0.011795,-10.76,3.125e-06,2025-08-21T07:10:19
44,0.029865,0.054074,0.005657,0.050026,0.086021,0.014030,-10.76,3.125e-06,2025-08-21T07:11:09
45,0.029731,0.053815,0.005648,0.049893,0.087944,0.011842,-10.75,3.125e-06,2025-08-21T07:11:59
46,0.029946,0.054261,0.005631,0.047262,0.082737,0.011787,-10.77,3.125e-06,2025-08-21T07:12:49
47,0.029933,0.054074,0.005793,0.048323,0.084766,0.011880,-10.77,3.125e-06,2025-08-21T07:13:39
48,0.029923,0.054160,0.005686,0.047926,0.084050,0.011802,-10.76,3.125e-06,2025-08-21T07:14:30
49,0.029993,0.054131,0.005855,0.048162,0.084381,0.011943,-10.76,3.125e-06,2025-08-21T07:15:21
50,0.029806,0.053920,0.005692,0.048416,0.083464,0.013367,-10.76,3.125e-06,2025-08-21T07:16:12
51,0.029859,0.054008,0.005711,0.048464,0.083385,0.013542,-10.76,1.5625e-06,2025-08-21T07:17:05
52,0.029719,0.053613,0.005825,0.048396,0.084916,0.011875,-10.76,1.5625e-06,2025-08-21T07:17:58
53,0.029612,0.053480,0.005744,0.048947,0.086059,0.011835,-10.75,1.5625e-06,2025-08-21T07:18:51
54,0.029514,0.053348,0.005679,0.049845,0.087784,0.011906,-10.74,1.5625e-06,2025-08-21T07:19:44
55,0.029921,0.054100,0.005742,0.047521,0.082972,0.012070,-10.77,1.5625e-06,2025-08-21T07:20:38
56,0.029717,0.053591,0.005843,0.048339,0.084615,0.012063,-10.77,1.5625e-06,2025-08-21T07:21:32
57,0.029688,0.053581,0.005794,0.048746,0.085430,0.012063,-10.75,1.5625e-06,2025-08-21T07:22:27
58,0.029322,0.052993,0.005652,0.046875,0.081541,0.012209,-10.77,1.5625e-06,2025-08-21T07:23:22
59,0.029567,0.053313,0.005820,0.047763,0.082276,0.013250,-10.76,1e-06,2025-08-21T07:24:17
60,0.029469,0.053167,0.005771,0.047648,0.083359,0.011937,-10.76,1e-06,2025-08-21T07:25:11
61,0.029492,0.053258,0.005726,0.049223,0.086302,0.012144,-10.75,1e-06,2025-08-21T07:26:06
62,0.029287,0.052977,0.005597,0.049258,0.086504,0.012012,-10.74,1e-06,2025-08-21T07:27:02
63,0.029157,0.052765,0.005549,0.048608,0.085193,0.012023,-10.75,1e-06,2025-08-21T07:27:58
64,0.029242,0.052840,0.005644,0.048701,0.085429,0.011972,-10.75,1e-06,2025-08-21T07:28:54
65,0.029183,0.052822,0.005544,0.048550,0.085101,0.011999,-10.75,1e-06,2025-08-21T07:29:50
66,0.029130,0.052681,0.005579,0.048461,0.084914,0.012009,-10.75,1e-06,2025-08-21T07:30:45
67,0.029267,0.052878,0.005656,0.048211,0.084393,0.012030,-10.75,1e-06,2025-08-21T07:31:39
68,0.029210,0.052808,0.005611,0.047666,0.083266,0.012066,-10.75,1e-06,2025-08-21T07:32:33
69,0.029211,0.052739,0.005684,0.046718,0.081419,0.012016,-10.76,1e-06,2025-08-21T07:33:24
70,0.029228,0.052826,0.005631,0.048735,0.085508,0.011961,-10.75,1e-06,2025-08-21T07:34:16
71,0.029327,0.053092,0.005562,0.046794,0.081474,0.012114,-10.76,1e-06,2025-08-21T07:35:08
72,0.029432,0.053306,0.005557,0.045745,0.079634,0.011856,-10.78,1e-06,2025-08-21T07:35:59
73,0.029132,0.052760,0.005503,0.045748,0.079476,0.012021,-10.78,1e-06,2025-08-21T07:36:50
74,0.029162,0.052813,0.005512,0.045407,0.078153,0.012660,-10.78,1e-06,2025-08-21T07:37:41
75,0.029166,0.052842,0.005490,0.045662,0.079112,0.012212,-10.78,1e-06,2025-08-21T07:38:31
76,0.029223,0.052904,0.005541,0.045541,0.078764,0.012317,-10.78,1e-06,2025-08-21T07:39:21
77,0.029149,0.052798,0.005500,0.045343,0.077884,0.012802,-10.78,1e-06,2025-08-21T07:40:12
78,0.029125,0.052712,0.005538,0.045606,0.078873,0.012339,-10.78,1e-06,2025-08-21T07:41:03
79,0.029220,0.052794,0.005647,0.045060,0.077663,0.012457,-10.78,1e-06,2025-08-21T07:41:53
80,0.029313,0.052986,0.005640,0.045015,0.077876,0.012154,-10.78,1e-06,2025-08-21T07:42:44
81,0.029260,0.052877,0.005643,0.046978,0.081413,0.012543,-10.77,1e-06,2025-08-21T07:43:35
82,0.029058,0.052569,0.005547,0.047648,0.081914,0.013382,-10.76,1e-06,2025-08-21T07:44:25
83,0.029178,0.052703,0.005652,0.045396,0.078142,0.012651,-10.78,1e-06,2025-08-21T07:45:15
84,0.029119,0.052623,0.005614,0.045869,0.079023,0.012716,-10.77,1e-06,2025-08-21T07:46:05
85,0.028998,0.052386,0.005609,0.047012,0.081537,0.012488,-10.77,1e-06,2025-08-21T07:46:56
86,0.029037,0.052481,0.005594,0.046739,0.081077,0.012401,-10.77,1e-06,2025-08-21T07:47:46
87,0.029202,0.052679,0.005726,0.047034,0.081513,0.012555,-10.76,1e-06,2025-08-21T07:48:37
88,0.028973,0.052316,0.005631,0.047955,0.083576,0.012333,-10.75,1e-06,2025-08-21T07:49:28
89,0.029010,0.052383,0.005636,0.048113,0.082599,0.013627,-10.76,1e-06,2025-08-21T07:50:19
90,0.029086,0.052495,0.005677,0.047040,0.081786,0.012295,-10.76,1e-06,2025-08-21T07:51:12
91,0.028992,0.052271,0.005713,0.048813,0.083624,0.014002,-10.76,1e-06,2025-08-21T07:52:05
92,0.029024,0.052389,0.005660,0.046960,0.081460,0.012460,-10.76,1e-06,2025-08-21T07:52:59
93,0.028973,0.052342,0.005603,0.047314,0.082346,0.012281,-10.77,1e-06,2025-08-21T07:53:53
94,0.028845,0.052052,0.005638,0.046317,0.080371,0.012264,-10.78,1e-06,2025-08-21T07:54:47
95,0.028874,0.052166,0.005582,0.047075,0.081832,0.012317,-10.77,1e-06,2025-08-21T07:55:42
96,0.028822,0.052056,0.005589,0.048553,0.085061,0.012044,-10.76,1e-06,2025-08-21T07:56:38
97,0.028770,0.051981,0.005558,0.047703,0.082607,0.012799,-10.76,1e-06,2025-08-21T07:57:34
98,0.028832,0.052006,0.005658,0.047415,0.082474,0.012356,-10.76,1e-06,2025-08-21T07:58:30
99,0.028779,0.051980,0.005577,0.047390,0.082075,0.012704,-10.77,1e-06,2025-08-21T07:59:26
100,0.028794,0.051945,0.005643,0.047427,0.082725,0.012129,-10.77,1e-06,2025-08-21T08:00:22
101,0.028817,0.051944,0.005690,0.048800,0.085449,0.012151,-10.76,1e-06,2025-08-21T08:01:20
102,0.028783,0.051923,0.005644,0.047737,0.082299,0.013174,-10.77,1e-06,2025-08-21T08:02:18
103,0.028912,0.052041,0.005783,0.047648,0.082667,0.012630,-10.77,1e-06,2025-08-21T08:03:15
104,0.028854,0.052034,0.005674,0.048792,0.084067,0.013518,-10.76,1e-06,2025-08-21T08:04:13
105,0.028926,0.052136,0.005716,0.047965,0.083290,0.012641,-10.75,1e-06,2025-08-21T08:05:10
106,0.028837,0.051977,0.005697,0.046509,0.080194,0.012824,-10.79,1e-06,2025-08-21T08:06:06
107,0.028669,0.051636,0.005703,0.047736,0.082001,0.013470,-10.78,1e-06,2025-08-21T08:07:02
108,0.028790,0.051879,0.005702,0.046903,0.080903,0.012902,-10.78,1e-06,2025-08-21T08:07:56
109,0.028808,0.051896,0.005721,0.047212,0.081907,0.012517,-10.78,1e-06,2025-08-21T08:08:50
110,0.028746,0.051722,0.005771,0.046977,0.080877,0.013076,-10.78,1e-06,2025-08-21T08:09:43
111,0.028472,0.051332,0.005612,0.046978,0.081762,0.012194,-10.78,1e-06,2025-08-21T08:10:36
112,0.028446,0.051274,0.005619,0.046429,0.080643,0.012215,-10.78,1e-06,2025-08-21T08:11:28
113,0.028482,0.051287,0.005677,0.046590,0.081011,0.012169,-10.78,1e-06,2025-08-21T08:12:20
114,0.028564,0.051438,0.005691,0.046723,0.081235,0.012211,-10.78,1e-06,2025-08-21T08:13:12
115,0.028520,0.051399,0.005641,0.046647,0.081135,0.012159,-10.78,1e-06,2025-08-21T08:14:04
116,0.028509,0.051376,0.005643,0.047266,0.082208,0.012324,-10.77,1e-06,2025-08-21T08:14:55
117,0.028632,0.051554,0.005709,0.048692,0.083436,0.013948,-10.77,1e-06,2025-08-21T08:15:47
118,0.028671,0.051658,0.005685,0.047135,0.080845,0.013424,-10.78,1e-06,2025-08-21T08:16:38
119,0.028688,0.051715,0.005661,0.048166,0.082642,0.013691,-10.77,1e-06,2025-08-21T08:17:30
120,0.028598,0.051604,0.005591,0.048438,0.083111,0.013765,-10.77,1e-06,2025-08-21T08:18:21
121,0.028726,0.051871,0.005580,0.046778,0.081427,0.012129,-10.77,1e-06,2025-08-21T08:19:12
122,0.028660,0.051768,0.005551,0.046686,0.080168,0.013205,-10.78,1e-06,2025-08-21T08:20:04
123,0.028793,0.051952,0.005634,0.047648,0.082874,0.012423,-10.77,1e-06,2025-08-21T08:20:55
124,0.028765,0.051937,0.005592,0.046710,0.080257,0.013163,-10.78,1e-06,2025-08-21T08:21:47
125,0.028724,0.051877,0.005572,0.046998,0.081485,0.012511,-10.77,1e-06,2025-08-21T08:22:38
126,0.028732,0.051878,0.005587,0.046517,0.080054,0.012981,-10.78,1e-06,2025-08-21T08:23:30
127,0.028794,0.052034,0.005554,0.046934,0.080721,0.013146,-10.77,1e-06,2025-08-21T08:24:21
128,0.028630,0.051678,0.005581,0.046841,0.080407,0.013274,-10.78,1e-06,2025-08-21T08:25:11
129,0.028615,0.051641,0.005589,0.046701,0.080857,0.012546,-10.77,1e-06,2025-08-21T08:26:02
130,0.028608,0.051665,0.005551,0.046863,0.080463,0.013263,-10.78,1e-06,2025-08-21T08:26:52
131,0.028704,0.051825,0.005582,0.047813,0.083222,0.012404,-10.76,1e-06,2025-08-21T08:27:42
132,0.028735,0.051791,0.005679,0.047572,0.082984,0.012159,-10.76,1e-06,2025-08-21T08:28:32
133,0.028707,0.051737,0.005677,0.047851,0.083137,0.012566,-10.75,1e-06,2025-08-21T08:29:23
134,0.028528,0.051429,0.005627,0.047110,0.081786,0.012433,-10.76,1e-06,2025-08-21T08:30:14
135,0.028522,0.051407,0.005636,0.047537,0.082942,0.012133,-10.75,1e-06,2025-08-21T08:31:05
136,0.028447,0.051260,0.005634,0.046705,0.081003,0.012408,-10.76,1e-06,2025-08-21T08:31:58
137,0.028474,0.051293,0.005656,0.047184,0.081165,0.013203,-10.76,1e-06,2025-08-21T08:32:50
138,0.028401,0.051168,0.005635,0.046782,0.080402,0.013162,-10.77,1e-06,2025-08-21T08:33:44
139,0.028273,0.050949,0.005597,0.047003,0.081836,0.012169,-10.76,1e-06,2025-08-21T08:34:38
140,0.028392,0.051187,0.005597,0.045689,0.079074,0.012304,-10.77,1e-06,2025-08-21T08:35:32
141,0.028423,0.051169,0.005677,0.045749,0.079188,0.012309,-10.77,1e-06,2025-08-21T08:36:28
142,0.028356,0.051142,0.005569,0.047140,0.081206,0.013074,-10.77,1e-06,2025-08-21T08:37:24
143,0.028482,0.051287,0.005677,0.045724,0.078979,0.012469,-10.77,1e-06,2025-08-21T08:38:20
144,0.028376,0.051062,0.005689,0.047309,0.081403,0.013215,-10.77,1e-06,2025-08-21T08:39:16
145,0.028344,0.051026,0.005662,0.046851,0.081375,0.012327,-10.76,1e-06,2025-08-21T08:40:11
146,0.028519,0.051345,0.005694,0.046330,0.080287,0.012372,-10.77,1e-06,2025-08-21T08:41:07
147,0.028268,0.050938,0.005599,0.048616,0.083285,0.013946,-10.76,1e-06,2025-08-21T08:42:03
148,0.028365,0.051098,0.005632,0.046908,0.080978,0.012838,-10.77,1e-06,2025-08-21T08:43:00
149,0.028359,0.051075,0.005644,0.046452,0.079805,0.013100,-10.78,1e-06,2025-08-21T08:43:57
150,0.028319,0.051090,0.005547,0.048759,0.083610,0.013909,-10.77,1e-06,2025-08-21T08:44:54
151,0.027732,0.050106,0.005357,0.045739,0.078858,0.012620,-10.79,1e-06,2025-08-21T08:45:54
152,0.027916,0.050337,0.005495,0.046567,0.079609,0.013525,-10.78,1e-06,2025-08-21T08:46:51
153,0.027894,0.050237,0.005552,0.045536,0.078501,0.012571,-10.79,1e-06,2025-08-21T08:47:48
